"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "XML", "Markdown", "JSON", "TypeScript JSX", "YAML", "CSS", "comment", "blank", "total"
"c:\aspirants-nextjs-auth\app\components\sections\problem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 3, 51
"c:\aspirants-nextjs-auth\app\components\sections\solution.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 4, 126
"c:\aspirants-nextjs-auth\app\components\sections\testimonials-carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 3, 90
"c:\aspirants-nextjs-auth\app\components\sections\testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 303, 0, 0, 2, 9, 314
"c:\aspirants-nextjs-auth\app\components\tailwind-indicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 1, 15
"c:\aspirants-nextjs-auth\app\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\aspirants-nextjs-auth\app\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 3, 24
"c:\aspirants-nextjs-auth\app\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 9, 59
"c:\aspirants-nextjs-auth\app\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"c:\aspirants-nextjs-auth\app\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\aspirants-nextjs-auth\app\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 31, 263
"c:\aspirants-nextjs-auth\app\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 327, 0, 0, 2, 37, 366
"c:\aspirants-nextjs-auth\app\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 14, 119
"c:\aspirants-nextjs-auth\app\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\aspirants-nextjs-auth\app\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\aspirants-nextjs-auth\app\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 12, 129
"c:\aspirants-nextjs-auth\app\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\aspirants-nextjs-auth\app\cookie-policy\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 4, 6, 112
"c:\aspirants-nextjs-auth\app\cookie-policy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 14, 275
"c:\aspirants-nextjs-auth\app\dashboard\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 4, 6, 112
"c:\aspirants-nextjs-auth\app\dashboard\main-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 40
"c:\aspirants-nextjs-auth\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 2, 117
"c:\aspirants-nextjs-auth\app\dashboard\search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\aspirants-nextjs-auth\app\dashboard\team-switcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 8, 214
"c:\aspirants-nextjs-auth\app\dashboard\user-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 62
"c:\aspirants-nextjs-auth\app\feature-requests\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 4, 6, 112
"c:\aspirants-nextjs-auth\app\feature-requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 407, 0, 0, 7, 20, 434
"c:\aspirants-nextjs-auth\app\fonts\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
